Timestamp,Action,Parameters,Model Weights,Buy Price,Current Price,Profit Margin,In Position,Buy Probability
2024-12-06 17:03:49,HOLD,"(0.036, 3)",[[-0.09580287  0.04282563 -0.05197448 -0.15454348 -0.69082509  0.14400774   -0.39110562 -0.37800271  0.13851394 -0.26531631  1.26232443 -0.18556072    0.36648467 -0.01884564  0.         -1.04622673]],0.01,4019.655,0.036,False,0.001018810259976951
2024-12-06 17:04:29,HOLD,"(0.036, 3)",[[-0.09580287  0.04282563 -0.05197448 -0.15454348 -0.69082509  0.14400774   -0.39110562 -0.37800271  0.13851394 -0.26531631  1.26232443 -0.18556072    0.36648467 -0.01884564  0.         -1.04622673]],0.01,4019.655,0.036,False,0.001018810259976951
2024-12-06 17:05:10,HOLD,"(0.036, 3)",[[-0.09536767  0.0411547  -0.05355351 -0.15598104 -0.70782513  0.13336253   -0.39967018 -0.36963873  0.15012451 -0.27460641  1.31600661 -0.20078526    0.33622569  0.01628775  0.         -1.08334821]],0.01,4020.11,0.036,False,0.0009558729124485389
2024-12-06 17:05:49,HOLD,"(0.036, 3)",[[-0.09580287  0.04282563 -0.05197448 -0.15454348 -0.69082509  0.14400774   -0.39110562 -0.37800271  0.13851394 -0.26531631  1.26232443 -0.18556072    0.36648467 -0.01884564  0.         -1.04622673]],0.01,4019.655,0.036,False,0.001018810259976951
2024-12-06 17:06:29,HOLD,"(0.036, 3)",[[-0.09580287  0.04282563 -0.05197448 -0.15454348 -0.69082509  0.14400774   -0.39110562 -0.37800271  0.13851394 -0.26531631  1.26232443 -0.18556072    0.36648467 -0.01884564  0.         -1.04622673]],0.01,4019.655,0.036,False,0.001018810259976951
2024-12-06 17:07:08,HOLD,"(0.036, 3)",[[-0.09536767  0.0411547  -0.05355351 -0.15598104 -0.70782513  0.13336253   -0.39967018 -0.36963873  0.15012451 -0.27460641  1.31600661 -0.20078526    0.33622569  0.01628775  0.         -1.08334821]],0.01,4019.655,0.036,False,0.0010002579567826902
2024-12-06 17:07:48,HOLD,"(0.036, 3)",[[-0.09580287  0.04282563 -0.05197448 -0.15454348 -0.69082509  0.14400774   -0.39110562 -0.37800271  0.13851394 -0.26531631  1.26232443 -0.18556072    0.36648467 -0.01884564  0.         -1.04622673]],0.01,4019.655,0.036,False,0.001018810259976951
2024-12-06 17:08:28,HOLD,"(0.036, 3)",[[-0.09580287  0.04282563 -0.05197448 -0.15454348 -0.69082509  0.14400774   -0.39110562 -0.37800271  0.13851394 -0.26531631  1.26232443 -0.18556072    0.36648467 -0.01884564  0.         -1.04622673]],0.01,4019.655,0.036,False,0.001018810259976951
2024-12-06 17:09:07,HOLD,"(0.036, 3)",[[-0.09536767  0.0411547  -0.05355351 -0.15598104 -0.70782513  0.13336253   -0.39967018 -0.36963873  0.15012451 -0.27460641  1.31600661 -0.20078526    0.33622569  0.01628775  0.         -1.08334821]],0.01,4019.655,0.036,False,0.0010002579567826902
2024-12-06 17:09:48,HOLD,"(0.036, 3)",[[-0.09580287  0.04282563 -0.05197448 -0.15454348 -0.69082509  0.14400774   -0.39110562 -0.37800271  0.13851394 -0.26531631  1.26232443 -0.18556072    0.36648467 -0.01884564  0.         -1.04622673]],0.01,4019.655,0.036,False,0.001018810259976951
