Timestamp,Action,Parameters,Model Weights,Buy Price,Current Price,Profit Margin,In Position,Buy Probability
2024-12-06 23:42:04,HOLD,"(0.021, 39)",[[ 0.50694859  0.06755198 -0.02166885  0.56663049 -0.49829752  0.89904783   -0.49900344  0.04661457 -0.3678382  -0.49991734  0.50977647 -0.4224792   -1.0627034   0.24391231  0.         -0.04561192]],0.01,3984.805,0.021,False,0.34473818045889143
2024-12-06 23:42:47,HOLD,"(0.021, 39)",[[ 0.50694859  0.06755198 -0.02166885  0.56663049 -0.49829752  0.89904783   -0.49900344  0.04661457 -0.3678382  -0.49991734  0.50977647 -0.4224792   -1.0627034   0.24391231  0.         -0.04561192]],0.01,3989.29,0.021,False,0.36011348178790037
2024-12-06 23:43:30,HOLD,"(0.021, 39)",[[ 0.50694859  0.06755198 -0.02166885  0.56663049 -0.49829752  0.89904783   -0.49900344  0.04661457 -0.3678382  -0.49991734  0.50977647 -0.4224792   -1.0627034   0.24391231  0.         -0.04561192]],0.01,3984.805,0.021,False,0.3446185182474539
2024-12-06 23:44:14,HOLD,"(0.021, 39)",[[ 0.50694859  0.06755198 -0.02166885  0.56663049 -0.49829752  0.89904783   -0.49900344  0.04661457 -0.3678382  -0.49991734  0.50977647 -0.4224792   -1.0627034   0.24391231  0.         -0.04561192]],0.01,3984.805,0.021,False,0.3446185182474539
