Timestamp,Action,Parameters,Model Weights,Buy Price,Current Price,Profit Margin,In Position,Buy Probability
2024-12-05 19:19:39,HOLD,"(0.02, 31)",[[-0.11047357  0.3844406   0.10312001 -0.61772104 -1.79394159  2.36593421   -0.91462162 -0.35675346 -0.18321696  0.28501064  0.60336819 -0.73538106   -0.40973474  0.0605311   0.         -0.19191499]],0.01,3880.315,0.02,False,0.16868849044849027
2024-12-05 19:20:23,HOLD,"(0.02, 31)",[[-0.11047357  0.3844406   0.10312001 -0.61772104 -1.79394159  2.36593421   -0.91462162 -0.35675346 -0.18321696  0.28501064  0.60336819 -0.73538106   -0.40973474  0.0605311   0.         -0.19191499]],0.01,3880.315,0.02,False,0.16868849044849027
2024-12-05 19:21:04,HOLD,"(0.02, 31)",[[-0.11047357  0.3844406   0.10312001 -0.61772104 -1.79394159  2.36593421   -0.91462162 -0.35675346 -0.18321696  0.28501064  0.60336819 -0.73538106   -0.40973474  0.0605311   0.         -0.19191499]],0.01,3880.315,0.02,False,0.16868849044849027
