Timestamp,Action,Parameters,Model Weights,Buy Price,Current Price,Profit Margin,In Position,Buy Probability
2024-12-05 18:02:50,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.745,0.022,False,0.10014257667338958
2024-12-05 18:03:30,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.745,0.022,False,0.10014257667338958
2024-12-05 18:04:11,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.125,0.022,False,0.10049513632604629
2024-12-05 18:04:58,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.125,0.022,False,0.10049513632604629
2024-12-05 18:05:44,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.125,0.022,False,0.10049513632604629
2024-12-05 18:06:26,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.125,0.022,False,0.10049513632604629
2024-12-05 18:07:08,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.125,0.022,False,0.10049513632604629
2024-12-05 18:07:50,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.745,0.022,False,0.10014257667338958
2024-12-05 18:08:35,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.745,0.022,False,0.10014257667338958
2024-12-05 18:09:18,HOLD,"(0.022, 32)",[[-0.03427251  0.33190076  0.07364331 -0.57919691 -1.55270022  2.26327314   -0.9775161  -0.30952048  0.10574886 -0.05632362  0.71055251 -0.75042557   -0.41222246 -0.05926411  0.         -0.31129529]],0.01,3872.125,0.022,False,0.10049513632604629
