Timestamp,Action,Parameters,Model Weights,Buy Price,Current Price,Profit Margin,In Position,Buy Probability
2024-12-02 12:03:02,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.8,0.011,True,0.22916656059796944
2024-12-02 12:03:43,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
2024-12-02 12:04:24,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
2024-12-02 12:05:05,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
2024-12-02 12:06:01,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
2024-12-02 12:06:58,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
2024-12-02 12:07:55,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
2024-12-02 12:08:53,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
2024-12-02 12:09:49,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.8,0.011,True,0.22916656059796944
2024-12-02 12:10:46,HOLD,"(0.011, 29)",[[-0.27307098 -0.11201699 -0.12398884 -0.66827525 -2.38626693  3.24543886   -1.59941086  0.08456229  0.67808497 -0.32553707  0.03050643 -1.09117989   -0.46019973  0.0292247   0.          0.400048  ]],0.01,3612.77,0.011,True,0.22914986458871667
