timestamp,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2024-11-02 05:30:00+00:00,2024-11-02T05:30:00Z,2505.665,2509.61,2511.855,2504.68,0,reg,False,ETHUSD
2024-11-02 05:40:00+00:00,2024-11-02T05:40:00Z,2509.61,2511.75,2513.085,2508.84,0,reg,False,ETHUSD
2024-11-02 05:50:00+00:00,2024-11-02T05:50:00Z,2511.75,2512.13,2512.469896135,2508.985,0,reg,False,ETHUSD
2024-11-02 06:00:00+00:00,2024-11-02T06:00:00Z,2512.175,2508.795,2513.445,2507.935,0,reg,False,ETHUSD
2024-11-02 06:10:00+00:00,2024-11-02T06:10:00Z,2508.795,2506.035,2509.4691007,2505.605,0,reg,False,ETHUSD
2024-11-02 06:20:00+00:00,2024-11-02T06:20:00Z,2506.035,2507.155,2508.438827605,2504.23,0,reg,False,ETHUSD
2024-11-02 06:30:00+00:00,2024-11-02T06:30:00Z,2507.155,2508.265,2508.61,2503.455,0,reg,False,ETHUSD
2024-11-02 06:40:00+00:00,2024-11-02T06:40:00Z,2508.25,2509.845,2510.08,2507.55,0,reg,False,ETHUSD
2024-11-02 06:50:00+00:00,2024-11-02T06:50:00Z,2510.25,2511.02,2511.43,2509.6,0,reg,False,ETHUSD
2024-11-02 07:00:00+00:00,2024-11-02T07:00:00Z,2511.02,2508.84,2511.639676065,2506.78,0,reg,False,ETHUSD
2024-11-02 07:10:00+00:00,2024-11-02T07:10:00Z,2508.84,2506.935,2509.719166985,2506.195,0,reg,False,ETHUSD
2024-11-02 07:20:00+00:00,2024-11-02T07:20:00Z,2507.255,2506.43,2509.705,2504.095,0,reg,False,ETHUSD
2024-11-02 07:30:00+00:00,2024-11-02T07:30:00Z,2506.635,2507.895,2509.629143125,2504.045,0,reg,False,ETHUSD
2024-11-02 07:40:00+00:00,2024-11-02T07:40:00Z,2507.895,2507.805,2509.1190079,2503.87,0,reg,False,ETHUSD
2024-11-02 07:50:00+00:00,2024-11-02T07:50:00Z,2507.97,2506.27,2508.64,2504.88,0,reg,False,ETHUSD
2024-11-02 08:00:00+00:00,2024-11-02T08:00:00Z,2506.34,2504.095,2509.915,2503.66,0,reg,False,ETHUSD
2024-11-02 08:10:00+00:00,2024-11-02T08:10:00Z,2504.095,2502.56,2504.735,2500.79,0,reg,False,ETHUSD
2024-11-02 08:20:00+00:00,2024-11-02T08:20:00Z,2502.76,2499.04,2504.62781743,2496.415,0,reg,False,ETHUSD
2024-11-02 08:30:00+00:00,2024-11-02T08:30:00Z,2499.14,2496.78,2501.97711483,2495.25,0,reg,False,ETHUSD
2024-11-02 08:40:00+00:00,2024-11-02T08:40:00Z,2497.045,2498.94,2500.656764865,2496.05,0,reg,False,ETHUSD
2024-11-02 08:50:00+00:00,2024-11-02T08:50:00Z,2498.965,2494.95,2499.36642285,2493.94,0,reg,False,ETHUSD
2024-11-02 09:00:00+00:00,2024-11-02T09:00:00Z,2495.095,2496.785,2497.156600915,2489.75,0,reg,False,ETHUSD
2024-11-02 09:10:00+00:00,2024-11-02T09:10:00Z,2499.695,2502.515,2502.87735345,2498.02,0,reg,False,ETHUSD
2024-11-02 09:20:00+00:00,2024-11-02T09:20:00Z,2502.415,2501.03,2502.81733754,2499.45,0,reg,False,ETHUSD
2024-11-02 09:30:00+00:00,2024-11-02T09:30:00Z,2502.82,2502.32,2503.177432985,2501.05,0,reg,False,ETHUSD
2024-11-02 09:40:00+00:00,2024-11-02T09:40:00Z,2504.01,2503.785,2504.357745845,2503.71297695,0,reg,False,ETHUSD
2024-11-02 09:50:00+00:00,2024-11-02T09:50:00Z,2497.265,2496.23,2497.265,2495.44,0,reg,False,ETHUSD
2024-11-02 10:00:00+00:00,2024-11-02T10:00:00Z,2494.655,2496.765,2497.62,2491.33,0,reg,False,ETHUSD
2024-11-02 10:10:00+00:00,2024-11-02T10:10:00Z,2496.805,2495.91,2498.84628499,2494.7,0,reg,False,ETHUSD
2024-11-02 10:20:00+00:00,2024-11-02T10:20:00Z,2497.925,2495.815,2499.68650769,2494.22,0,reg,False,ETHUSD
2024-11-02 10:30:00+00:00,2024-11-02T10:30:00Z,2495.26,2499.42,2501.165,2494.045,0,reg,False,ETHUSD
2024-11-02 10:40:00+00:00,2024-11-02T10:40:00Z,2500.375,2500.05,2501.366953105,2497.985,0,reg,False,ETHUSD
2024-11-02 10:50:00+00:00,2024-11-02T10:50:00Z,2500.775,2501.435,2501.59695819,2498.705,0,reg,False,ETHUSD
